Invoice Number,Payment Method,Payment Date,Sales person,Dynamic Data Masking,Email,,,,,,,,
INV-88969,Wire Transfer,30-Apr-24,,,,,,,,,,,
INV-13180,Check,18-Apr-24,,,,,,,,,,,
INV-73783,Credit Card,12-Apr-24,,,,,,,,,,,
INV-47945,ACH Transfer,6-May-24,,,,,,,,,,,
INV-19246,Credit Card,24-Apr-24,,,,,,,,,,,
INV-19994,ACH Transfer,19-Apr-24,,,,,,,,,,,
INV-71295,Wire Transfer,15-Apr-24,,,,,,,,,,,
INV-10226,Credit Card,23-Apr-24,,,,,,,,,,,
INV-78229,ACH Transfer,22-Apr-24,,,,,,,,,,,
INV-89539,Check,11-Apr-24,,,,,,,,,,,
INV-16540,Wire Transfer,21-Apr-24,,,,,,,,,,,
INV-24699,Credit Card,4-May-24,,,,,,,,,,,
INV-94690,Wire Transfer,26-Apr-24,,,,,,,,,,,
INV-87573,Check,29-Apr-24,,,,,,,,,,,
INV-66367,Credit Card,14-Apr-24,,,,,,,,,,,
INV-90593,ACH Transfer,19-Apr-24,,,,,,,,,,,
INV-59622,Credit Card,15-Apr-24,,,,,,,,,,,
INV-12259,ACH Transfer,23-Apr-24,,,,,,,,,,,
INV-70424,ACH Transfer,5-May-24,,,,,,,,,,,
INV-12687,Credit Card,11-Apr-24,,,,,,,,,,,
INV-78645,ACH Transfer,3-May-24,,,,,,,,,,,
INV-33630,Wire Transfer,5-May-24,,,,,,,,,,,
INV-20608,ACH Transfer,15-Apr-24,,,,,,,,,,,
INV-90323,ACH Transfer,19-Apr-24,,,,,,,,,,,
INV-37501,ACH Transfer,26-Apr-24,,,,,,,,,,,
INV-78787,Wire Transfer,19-Apr-24,,,,,,,,,,,
INV-40774,ACH Transfer,4-May-24,,,,,,,,,,,
INV-31748,Check,6-May-24,,,,,,,,,,,
INV-63183,Credit Card,17-Apr-24,,,,,,,,,,,
INV-97445,Check,11-Apr-24,,,,,,,,,,,
INV-13842,Check,6-May-24,,,,,,,,,,,
INV-35929,Check,29-Apr-24,,,,,,,,,,,
INV-85596,Check,30-Apr-24,,,,,,,,,,,
INV-25249,ACH Transfer,21-Apr-24,,,,,,,,,,,
INV-75209,Check,16-Apr-24,,,,,,,,,,,
INV-93306,Wire Transfer,16-Apr-24,,,,,,,,,,,
INV-22789,Wire Transfer,28-Apr-24,,,,,,,,,,,
INV-26247,Credit Card,29-Apr-24,,,,,,,,,,,
INV-85242,ACH Transfer,15-Apr-24,,,,,,,,,,,
INV-14296,Wire Transfer,5-May-24,,,,,,,,,,,
INV-14083,ACH Transfer,24-Apr-24,,,,,,,,,,,
INV-32593,Check,1-May-24,,,,,,,,,,,
INV-60793,ACH Transfer,27-Apr-24,,,,,,,,,,,
INV-67019,Wire Transfer,18-Apr-24,,,,,,,,,,,
INV-79816,Credit Card,17-Apr-24,,,,,,,,,,,
INV-27068,Credit Card,23-Apr-24,,,,,,,,,,,
INV-57119,Check,2-May-24,,,,,,,,,,,
INV-38477,ACH Transfer,14-Apr-24,,,,,,,,,,,
INV-79785,Check,11-Apr-24,,,,,,,,,,,
INV-80674,ACH Transfer,19-Apr-24,,,,,,,,,,,
INV-62572,Check,23-Apr-24,,,,,,,,,,,
INV-31657,Check,1-May-24,,,,,,,,,,,
INV-89401,Wire Transfer,26-Apr-24,,,,,,,,,,,
INV-13672,Check,28-Apr-24,,,,,,,,,,,
INV-40117,Credit Card,22-Apr-24,,,,,,,,,,,
INV-55238,Check,1-May-24,,,,,,,,,,,
INV-45305,Check,19-Apr-24,,,,,,,,,,,
INV-71186,Credit Card,16-Apr-24,,,,,,,,,,,
INV-63380,ACH Transfer,13-Apr-24,,,,,,,,,,,
INV-46412,ACH Transfer,19-Apr-24,,,,,,,,,,,
INV-64453,Check,17-Apr-24,,,,,,,,,,,
INV-51776,Wire Transfer,29-Apr-24,,,,,,,,,,,
INV-42064,Wire Transfer,8-Apr-24,,,,,,,,,,,
INV-92889,Credit Card,10-Apr-24,,,,,,,,,,,
INV-89564,Check,25-Apr-24,,,,,,,,,,,
INV-20767,Check,19-Apr-24,,,,,,,,,,,
INV-75634,ACH Transfer,7-Apr-24,,,,,,,,,,,
INV-85911,ACH Transfer,27-Apr-24,,,,,,,,,,,
INV-38938,Check,20-Apr-24,,,,,,,,,,,
INV-12115,Wire Transfer,6-May-24,,,,,,,,,,,
INV-60060,Wire Transfer,19-Apr-24,,,,,,,,,,,
INV-52704,Check,11-Apr-24,,,,,,,,,,,
INV-20108,ACH Transfer,7-Apr-24,,,,,,,,,,,
INV-12648,Check,15-Apr-24,,,,,,,,,,,
INV-74501,Wire Transfer,10-Apr-24,,,,,,,,,,,
INV-45000,Check,7-Apr-24,,,,,,,,,,,
INV-73557,Wire Transfer,7-Apr-24,,,,,,,,,,,
INV-22702,Credit Card,25-Apr-24,,,,,,,,,,,
INV-96095,Check,3-May-24,,,,,,,,,,,
INV-89290,Check,28-Apr-24,,,,,,,,,,,
INV-82325,Credit Card,10-Apr-24,,,,,,,,,,,
INV-58814,Check,3-May-24,,,,,,,,,,,
INV-82778,Wire Transfer,1-May-24,,,,,,,,,,,
INV-63186,Wire Transfer,26-Apr-24,,,,,,,,,,,
INV-18132,ACH Transfer,30-Apr-24,,,,,,,,,,,
INV-32716,Check,12-Apr-24,,,,,,,,,,,
INV-93911,Wire Transfer,24-Apr-24,,,,,,,,,,,
INV-31237,ACH Transfer,4-May-24,,,,,,,,,,,
INV-67015,Wire Transfer,14-Apr-24,,,,,,,,,,,
INV-68209,ACH Transfer,13-Apr-24,,,,,,,,,,,
INV-32644,Check,13-Apr-24,,,,,,,,,,,
INV-75384,ACH Transfer,25-Apr-24,,,,,,,,,,,
INV-68527,ACH Transfer,18-Apr-24,,,,,,,,,,,
INV-39492,Wire Transfer,14-Apr-24,,,,,,,,,,,
INV-19493,Check,14-Apr-24,,,,,,,,,,,
INV-70378,Credit Card,16-Apr-24,,,,,,,,,,,
INV-24733,ACH Transfer,11-Apr-24,,,,,,,,,,,
INV-66137,Wire Transfer,17-Apr-24,,,,,,,,,,,
INV-32431,Credit Card,9-Apr-24,,,,,,,,,,,
INV-12521,Wire Transfer,3-May-24,,,,,,,,,,,
INV-27899,Check,11-Apr-24,,,,,,,,,,,
INV-44349,Check,18-Apr-24,,,,,,,,,,,
INV-33865,Wire Transfer,17-Apr-24,,,,,,,,,,,
INV-89859,Credit Card,1-May-24,,,,,,,,,,,
INV-56657,Credit Card,14-Apr-24,,,,,,,,,,,
INV-63532,Wire Transfer,5-May-24,,,,,,,,,,,
INV-67915,Credit Card,12-Apr-24,,,,,,,,,,,
INV-60370,Wire Transfer,12-Apr-24,,,,,,,,,,,
INV-32083,Credit Card,25-Apr-24,,,,,,,,,,,
INV-26474,Check,2-May-24,,,,,,,,,,,
INV-85269,ACH Transfer,5-May-24,,,,,,,,,,,
INV-87011,ACH Transfer,2-May-24,,,,,,,,,,,
INV-77520,Wire Transfer,1-May-24,,,,,,,,,,,
INV-11272,Credit Card,7-Apr-24,,,,,,,,,,,
INV-87608,ACH Transfer,25-Apr-24,,,,,,,,,,,
INV-53971,Check,12-Apr-24,,,,,,,,,,,
INV-16759,ACH Transfer,10-Apr-24,,,,,,,,,,,
INV-45898,ACH Transfer,20-Apr-24,,,,,,,,,,,
INV-49973,Check,27-Apr-24,,,,,,,,,,,
INV-86952,Check,22-Apr-24,,,,,,,,,,,
INV-95292,ACH Transfer,4-May-24,,,,,,,,,,,
INV-23604,Credit Card,27-Apr-24,,,,,,,,,,,
INV-56408,Check,19-Apr-24,,,,,,,,,,,
INV-57918,ACH Transfer,9-Apr-24,,,,,,,,,,,
INV-47451,Credit Card,28-Apr-24,,,,,,,,,,,
INV-85718,Credit Card,20-Apr-24,,,,,,,,,,,
INV-54923,ACH Transfer,16-Apr-24,,,,,,,,,,,
INV-49769,Credit Card,27-Apr-24,,,,,,,,,,,
INV-52212,Wire Transfer,25-Apr-24,,,,,,,,,,,
INV-75889,Credit Card,22-Apr-24,,,,,,,,,,,
INV-44703,Wire Transfer,5-May-24,,,,,,,,,,,
INV-32085,Check,20-Apr-24,,,,,,,,,,,
INV-38041,Check,12-Apr-24,,,,,,,,,,,
INV-21757,Credit Card,18-Apr-24,,,,,,,,,,,
INV-49788,ACH Transfer,17-Apr-24,,,,,,,,,,,
INV-95110,Wire Transfer,30-Apr-24,,,,,,,,,,,
INV-32616,ACH Transfer,11-Apr-24,,,,,,,,,,,
INV-63973,Wire Transfer,5-May-24,,,,,,,,,,,
INV-22088,Check,11-Apr-24,,,,,,,,,,,
INV-87660,Check,16-Apr-24,,,,,,,,,,,
INV-92366,Check,20-Apr-24,,,,,,,,,,,
INV-43709,ACH Transfer,11-Apr-24,,,,,,,,,,,
INV-13554,Credit Card,19-Apr-24,,,,,,,,,,,
INV-61245,Wire Transfer,4-May-24,,,,,,,,,,,
INV-74368,Wire Transfer,11-Apr-24,,,,,,,,,,,
INV-73808,ACH Transfer,18-Apr-24,,,,,,,,,,,
INV-95245,Wire Transfer,29-Apr-24,,,,,,,,,,,
INV-39919,Check,15-Apr-24,,,,,,,,,,,
INV-44951,Credit Card,1-May-24,,,,,,,,,,,
INV-43585,Check,18-Apr-24,,,,,,,,,,,
INV-83416,Check,6-May-24,,,,,,,,,,,
INV-23062,Wire Transfer,23-Apr-24,,,,,,,,,,,
INV-80618,Credit Card,23-Apr-24,,,,,,,,,,,
INV-18212,Wire Transfer,4-May-24,,,,,,,,,,,
INV-55219,ACH Transfer,25-Apr-24,,,,,,,,,,,
INV-48318,Check,5-May-24,,,,,,,,,,,
INV-17755,Credit Card,18-Apr-24,,,,,,,,,,,
INV-53227,Wire Transfer,27-Apr-24,,,,,,,,,,,
INV-39104,Check,5-May-24,,,,,,,,,,,
INV-96011,Credit Card,8-Apr-24,,,,,,,,,,,
INV-18408,Check,14-Apr-24,,,,,,,,,,,
INV-86438,Wire Transfer,22-Apr-24,,,,,,,,,,,
INV-72829,Credit Card,19-Apr-24,,,,,,,,,,,
INV-91656,ACH Transfer,19-Apr-24,,,,,,,,,,,
INV-62915,Credit Card,9-Apr-24,,,,,,,,,,,
INV-24852,Check,8-Apr-24,,,,,,,,,,,
INV-70973,ACH Transfer,25-Apr-24,,,,,,,,,,,
INV-34387,Credit Card,26-Apr-24,,,,,,,,,,,
INV-74239,ACH Transfer,28-Apr-24,,,,,,,,,,,
INV-51414,Credit Card,27-Apr-24,,,,,,,,,,,
INV-45464,ACH Transfer,23-Apr-24,,,,,,,,,,,
INV-49730,Credit Card,22-Apr-24,,,,,,,,,,,
INV-95282,ACH Transfer,12-Apr-24,,,,,,,,,,,
INV-85226,Check,14-Apr-24,,,,,,,,,,,
INV-39334,ACH Transfer,6-May-24,,,,,,,,,,,
INV-36775,Check,19-Apr-24,,,,,,,,,,,
INV-85864,ACH Transfer,8-Apr-24,,,,,,,,,,,
INV-97134,Credit Card,15-Apr-24,,,,,,,,,,,
INV-82931,ACH Transfer,10-Apr-24,,,,,,,,,,,
INV-48001,ACH Transfer,12-Apr-24,,,,,,,,,,,
INV-56663,Check,4-May-24,,,,,,,,,,,
INV-93072,Check,29-Apr-24,,,,,,,,,,,
INV-48112,Check,20-Apr-24,,,,,,,,,,,
INV-51527,Wire Transfer,17-Apr-24,,,,,,,,,,,
INV-18756,Credit Card,20-Apr-24,,,,,,,,,,,
INV-78648,ACH Transfer,15-Apr-24,,,,,,,,,,,
INV-49207,Check,11-Apr-24,,,,,,,,,,,
INV-57741,Credit Card,24-Apr-24,,,,,,,,,,,
INV-74718,ACH Transfer,28-Apr-24,,,,,,,,,,,
INV-94826,Wire Transfer,6-May-24,,,,,,,,,,,
INV-40741,Check,17-Apr-24,,,,,,,,,,,
INV-49706,ACH Transfer,28-Apr-24,,,,,,,,,,,
INV-97193,Credit Card,12-Apr-24,,,,,,,,,,,
INV-44225,Wire Transfer,19-Apr-24,,,,,,,,,,,
INV-78451,Wire Transfer,25-Apr-24,,,,,,,,,,,
INV-44314,Wire Transfer,9-Apr-24,,,,,,,,,,,
INV-27223,Wire Transfer,7-Apr-24,,,,,,,,,,,
INV-92513,Credit Card,5-May-24,,,,,,,,,,,
INV-24856,Credit Card,5-May-24,,,,,,,,,,,
INV-74892,Check,16-Apr-24,,,,,,,,,,,
INV-10601,Wire Transfer,28-Apr-24,,,,,,,,,,,
INV-51948,Check,7-Apr-24,,,,,,,,,,,
INV-14733,ACH Transfer,16-Apr-24,,,,,,,,,,,
INV-10301,Check,19-Apr-24,,,,,,,,,,,
INV-97445,ACH Transfer,28-Apr-24,,,,,,,,,,,
INV-20328,Check,30-Apr-24,,,,,,,,,,,
INV-53742,Wire Transfer,7-Apr-24,,,,,,,,,,,
INV-94779,ACH Transfer,11-Apr-24,,,,,,,,,,,
INV-88502,ACH Transfer,25-Apr-24,,,,,,,,,,,
INV-88055,Wire Transfer,10-Apr-24,,,,,,,,,,,
INV-18155,Credit Card,20-Apr-24,,,,,,,,,,,
INV-72089,ACH Transfer,4-May-24,,,,,,,,,,,
INV-99682,Wire Transfer,18-Apr-24,,,,,,,,,,,
INV-78516,ACH Transfer,14-Apr-24,,,,,,,,,,,
INV-38451,ACH Transfer,25-Apr-24,,,,,,,,,,,
INV-59472,Credit Card,27-Apr-24,,,,,,,,,,,
INV-26621,Wire Transfer,6-May-24,,,,,,,,,,,
INV-61899,Check,5-May-24,,,,,,,,,,,
INV-55178,Credit Card,4-May-24,,,,,,,,,,,
INV-36746,Check,19-Apr-24,,,,,,,,,,,
INV-59624,Credit Card,14-Apr-24,,,,,,,,,,,
INV-11182,Credit Card,17-Apr-24,,,,,,,,,,,
INV-39577,Wire Transfer,16-Apr-24,,,,,,,,,,,
INV-67991,Check,5-May-24,,,,,,,,,,,
INV-19668,ACH Transfer,12-Apr-24,,,,,,,,,,,
INV-95855,Check,27-Apr-24,,,,,,,,,,,
INV-69561,Wire Transfer,17-Apr-24,,,,,,,,,,,
INV-25317,Credit Card,30-Apr-24,,,,,,,,,,,
INV-88686,Credit Card,10-Apr-24,,,,,,,,,,,
INV-59485,Check,18-Apr-24,,,,,,,,,,,
INV-32430,Credit Card,13-Apr-24,,,,,,,,,,,
INV-94923,Check,4-May-24,,,,,,,,,,,
INV-85721,ACH Transfer,11-Apr-24,,,,,,,,,,,
INV-11686,Wire Transfer,10-Apr-24,,,,,,,,,,,
INV-27800,Wire Transfer,12-Apr-24,,,,,,,,,,,
INV-46389,Wire Transfer,20-Apr-24,,,,,,,,,,,
INV-10276,Check,12-Apr-24,,,,,,,,,,,
INV-58043,ACH Transfer,26-Apr-24,,,,,,,,,,,
INV-12611,Wire Transfer,5-May-24,,,,,,,,,,,
INV-32964,Credit Card,10-Apr-24,,,,,,,,,,,
INV-13128,ACH Transfer,27-Apr-24,,,,,,,,,,,
INV-33536,ACH Transfer,27-Apr-24,,,,,,,,,,,
INV-64110,Wire Transfer,11-Apr-24,,,,,,,,,,,
INV-79000,Check,10-Apr-24,,,,,,,,,,,
INV-17032,ACH Transfer,11-Apr-24,,,,,,,,,,,
INV-24342,ACH Transfer,12-Apr-24,,,,,,,,,,,
INV-30221,Wire Transfer,19-Apr-24,,,,,,,,,,,
INV-24484,ACH Transfer,2-May-24,,,,,,,,,,,
INV-81043,Credit Card,17-Apr-24,,,,,,,,,,,
INV-89639,Credit Card,5-May-24,,,,,,,,,,,
INV-67353,Credit Card,20-Apr-24,,,,,,,,,,,
INV-73752,Credit Card,4-May-24,,,,,,,,,,,
INV-84473,ACH Transfer,9-Apr-24,,,,,,,,,,,
INV-60950,Check,12-Apr-24,,,,,,,,,,,
INV-33575,Credit Card,27-Apr-24,,,,,,,,,,,
INV-69383,Credit Card,24-Apr-24,,,,,,,,,,,
INV-11760,ACH Transfer,25-Apr-24,,,,,,,,,,,
INV-91930,Credit Card,6-May-24,,,,,,,,,,,
INV-68404,Check,4-May-24,,,,,,,,,,,
INV-93769,Credit Card,8-Apr-24,,,,,,,,,,,
INV-49904,Wire Transfer,29-Apr-24,,,,,,,,,,,
INV-15220,Wire Transfer,9-Apr-24,,,,,,,,,,,
INV-81024,Credit Card,10-Apr-24,,,,,,,,,,,
INV-58660,Credit Card,9-Apr-24,,,,,,,,,,,
INV-24725,Wire Transfer,6-May-24,,,,,,,,,,,
INV-75311,Credit Card,27-Apr-24,,,,,,,,,,,
INV-13838,Wire Transfer,7-Apr-24,,,,,,,,,,,
INV-58662,Wire Transfer,16-Apr-24,,,,,,,,,,,
INV-66241,ACH Transfer,20-Apr-24,,,,,,,,,,,
INV-62451,ACH Transfer,13-Apr-24,,,,,,,,,,,
INV-70930,ACH Transfer,11-Apr-24,,,,,,,,,,,
INV-98905,Wire Transfer,8-Apr-24,,,,,,,,,,,
INV-49181,Wire Transfer,14-Apr-24,,,,,,,,,,,
INV-28893,Wire Transfer,16-Apr-24,,,,,,,,,,,
INV-23870,Credit Card,6-May-24,,,,,,,,,,,
INV-58933,ACH Transfer,13-Apr-24,,,,,,,,,,,
INV-79897,Wire Transfer,14-Apr-24,,,,,,,,,,,
INV-97183,Check,18-Apr-24,,,,,,,,,,,
INV-40631,Check,24-Apr-24,,,,,,,,,,,
INV-82018,Credit Card,23-Apr-24,,,,,,,,,,,
